results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
885	acebutolol	3.14	2.67	3.67	2.903068e-34	164	3797	120299	8740079	885	acebutolol	hypertension	2.56	1.83	3.51	1.816595e-07	42	683	7581	316202	885	acebutolol	hypertension	46	86.8	2.12	0.83	4.52	0.08698007	7	122	1679	62151	885	acebutolol	hypertension	3.34	0.87	9.25	0.03839771	4	42	884	31050	885	acebutolol	hypertension	1.18	0.24	3.56	0.7441045	3	102	987	39600	885	acebutolol	hypertension	0.57	1.76826705143374	0.39	0.1423056	0.01	0	1.007235e-15	0.15	0.05	0.001413117	8726728	161	161	80
366	acetic acid, glacial	2.89	1.64	4.75	0.0002513275	16	402	120447	8743474	366	acetic acid, glacial	hypertension	2.48	0.66	6.66	0.08609462	4	67	7619	316818	366	acetic acid, glacial	hypertension	46	86.8	0	0	89.49	1	0	3	1686	62270	366	acetic acid, glacial	hypertension	0	0	84.84	1	0	3	888	31089	366	acetic acid, glacial	hypertension	0	0	213.76	1	0	2	990	39700	366	acetic acid, glacial	hypertension	-7.98	0.000342239422515039	87.59	0.927412	0.01	0	8.539415e-16	0.15	0.05	0.001496678	8726728	161	161	80
437	acetohexamide	0	0	21.89	1	0	14	120463	8743862	437	acetohexamide	hypertension	0	0	100.77	1	0	3	7623	316882	437	acetohexamide	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	437	acetohexamide	hypertension	0	0	Inf	1	0	0	888	31092	437	acetohexamide	hypertension	0	0	Inf	1	0	0	990	39702	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.98	0.76	1.26	0.950231	64	4725	120399	8739151	1572	aliskiren hemifumarate	hypertension	0.34	0.19	0.57	2.800958e-06	14	1699	7609	315186	1572	aliskiren hemifumarate	hypertension	46	86.8	1.26	0.25	3.81	0.5192362	3	88	1683	62185	1572	aliskiren hemifumarate	hypertension	2.06	0.41	6.4	0.1890961	3	51	885	31041	1572	aliskiren hemifumarate	hypertension	1.61	0.19	6.13	0.361982	2	50	988	39652	1572	aliskiren hemifumarate	hypertension	0.6	1.82211880039051	0.46	0.1916458	0.01	0	8.830574e-16	0.15	0.05	0.001529299	8726728	161	161	80
482	allopurinol	3.85	3.72	3.98	0	3760	72536	116703	8671340	482	allopurinol	hypertension	1.87	1.69	2.06	5.141915e-32	464	10629	7159	306256	482	allopurinol	hypertension	46	86.8	1.49	1.2	1.83	0.0003520102	99	2505	1587	59768	482	allopurinol	hypertension	1.11	0.83	1.46	0.4639756	56	1780	832	29312	482	allopurinol	hypertension	2.53	1.87	3.36	9.295089e-09	54	886	936	38816	482	allopurinol	hypertension	0.38	1.46228458943422	0.1	0.0001865433	0.01	0	5.805886e-15	0.13	0.05	0.004931096	8726728	161	161	80
1142	allopurinol sodium	1.56	0.8	2.74	0.1430683	12	560	120451	8743316	1142	allopurinol sodium	hypertension	0.76	0.02	4.39	1	1	55	7622	316830	1142	allopurinol sodium	hypertension	46	86.8	0	0	40.28	1	0	5	1686	62268	1142	allopurinol sodium	hypertension	0	0	186.62	1	0	2	888	31090	1142	allopurinol sodium	hypertension	0	0	97.24	1	0	3	990	39699	1142	allopurinol sodium	hypertension	-8.01	0.000332124718983941	87.99	0.9274853	0.01	0	8.481358e-16	0.15	0.05	0.001505312	8726728	161	161	80
758	amiloride	2.6	2.22	3.02	7.629867e-27	172	4813	120291	8739063	758	amiloride	hypertension	1.08	0.73	1.55	0.6356685	31	1191	7592	315694	758	amiloride	hypertension	46	86.8	0.73	0.2	1.91	0.8249045	4	201	1682	62072	758	amiloride	hypertension	1.64	0.33	5.04	0.4362719	3	64	885	31028	758	amiloride	hypertension	0.25	0.01	1.39	0.195817	1	163	989	39539	758	amiloride	hypertension	-0.45	0.637628151621773	0.51	0.3773616	0.01	0	7.67194e-16	0.15	0.05	0.001589276	8726728	161	161	80
1018	amlodipine besylate	2.46	2.38	2.54	0	3944	118839	116519	8625037	1018	amlodipine besylate	hypertension	1.09	1.02	1.17	0.01483383	897	34474	6726	282411	1018	amlodipine besylate	hypertension	46	86.8	1.1	0.92	1.31	0.2868483	141	4778	1545	57495	1018	amlodipine besylate	hypertension	1.29	1.02	1.63	0.0329069	84	2322	804	28770	1018	amlodipine besylate	hypertension	0.92	0.71	1.18	0.5468953	71	3071	919	36631	1018	amlodipine besylate	hypertension	0.08	1.08328706767496	0.09	0.3452275	0.01	0	9.263829e-16	0.15	0.05	0.001479473	8726728	161	161	80
1471	amlodipine maleate	1.52	0.65	3.02	0.2657796	8	383	120455	8743493	1471	amlodipine maleate	hypertension	0.31	0.01	1.73	0.3863304	1	136	7622	316749	1471	amlodipine maleate	hypertension	46	86.8	0	0	8.95	1	0	17	1686	62256	1471	amlodipine maleate	hypertension	0	0	17.76	1	0	9	888	31083	1471	amlodipine maleate	hypertension	0	0	17.91	1	0	10	990	39692	1471	amlodipine maleate	hypertension	-10.01	4.4948192913572e-05	122.56	0.9349314	0.01	0	8.289972e-16	0.15	0.05	0.001497899	8726728	161	161	80
1740	amoxicillin	3.02	2.87	3.17	2.49630126020811e-318	1715	41632	118748	8702244	1740	amoxicillin	hypertension	2.29	1.87	2.78	5.160645e-14	111	2032	7512	314853	1740	amoxicillin	hypertension	46	86.8	1.27	0.72	2.08	0.3194049	16	468	1670	61805	1740	amoxicillin	hypertension	0.76	0.28	1.68	0.713536	6	276	882	30816	1740	amoxicillin	hypertension	2.28	1.25	3.85	0.004967103	15	266	975	39436	1740	amoxicillin	hypertension	0.39	1.47698079388264	0.22	0.08350287	0.01	0	7.923096e-16	0.15	0.05	0.001608891	8726728	161	161	80
