results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	48.13	1	0	23	31953	8832363	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	301.25	1	0	5	31953	8832381	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	1.7	1.37	2.08	2.41981e-06	95	15502	31858	8816884	3	heparin sodium	prophylaxis	4.9	3.38	6.91	1.032723e-13	36	1603	471	102720	3	heparin sodium	prophylaxis	0	89.4	0	0	24.06	1	0	159	29	27903	3	heparin sodium	prophylaxis	0	0	87.63	1	0	93	8	13709	3	heparin sodium	prophylaxis	0	0	39.14	1	0	66	23	14471	3	heparin sodium	prophylaxis	-12.86	2.5999976936368e-06	821.84	0.9875168	-0.03	0.01	0.001135324	-0.95	0.41	0.02125619	8283708
4	histamine phosphate	0	0	140.18	1	0	9	31953	8832377	4	histamine phosphate	colon cancer	0	0	5061.79	1	0	1	106	14938	4	histamine phosphate	colon cancer	7	76.1	0	0	Inf	1	0	0	11	3165	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	11	2041	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	5	1696	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	40.45	1	0	27	31953	8832359	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	3	0	224	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	301.25	1	0	5	31953	8832381	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	7987.2	1	0	1	5	1169	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	77	1	0	15	31953	8832371	7	guanidine	renal transplant	0	0	440.55	1	0	4	75	21644	7	guanidine	renal transplant	16	70.4	0	0	Inf	1	0	0	4	3249	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	2283	7	guanidine	renal transplant	0	0	Inf	1	0	0	5	1509	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	19.55	1	0	54	31953	8832332	8	menadione	acute lymphocytic leukaemia	0	0	204.27	1	0	8	36	12109	8	menadione	acute lymphocytic leukaemia	27	27	0	0	Inf	1	0	0	0	0	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1513	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	1	1242	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	99.61	1	0	12	31953	8832374	9	thyroglobulin	prophylaxis against transplant rejection	0	0	645.55	1	0	4	24	9890	9	thyroglobulin	prophylaxis against transplant rejection	35.5	70.8	0	0	Inf	1	0	0	1	998	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	1	868	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	2	572	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	26.03	1	0	41	31953	8832345	10	inulin	oesophageal carcinoma	0	0	275.07	1	0	3	27	3003	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
