results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	8.51	1	0	23	177549	8686767	1	hydroxyamphetamine	ophthalmological examination	0	0	118.98	1	0	4	4	237	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	53.4	1	0	5	177549	8686785	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	1.29	1.16	1.42	1.498465e-06	400	15197	177149	8671593	3	heparin sodium	prophylaxis	1.05	0.65	1.62	0.8199344	21	1618	1258	101933	3	heparin sodium	prophylaxis	23.9	79.7	0	0	3.52	0.6303202	0	122	207	23538	3	heparin sodium	prophylaxis	0	0	6.88	1	0	93	82	13635	3	heparin sodium	prophylaxis	0	0	5.64	1	0	66	148	14346	3	heparin sodium	prophylaxis	-12.77	2.84485061407025e-06	311.81	0.9673386	-0.01	0	0.02287227	-0.52	0.14	0.0001767419	8283708
4	histamine phosphate	0	0	24.79	1	0	9	177549	8686781	4	histamine phosphate	colon cancer	0	0	7024.26	1	0	1	74	14970	4	histamine phosphate	colon cancer	44.6	81.9	0	0	Inf	1	0	0	23	3205	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	12	2040	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	15	1686	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	8.51	2.14	24.91	0.001953639	4	23	177545	8686767	5	butabarbital sodium	anal fissure	0	0	165.3	1	0	3	4	220	5	butabarbital sodium	anal fissure	42	60	0	0	Inf	1	0	1	0	9	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	477.42	1	0	1	3	36	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	53.4	1	0	5	177549	8686785	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	1980.73	1	0	1	22	1152	6	desoxycorticosterone acetate	adrenal insufficiency	10.6	47.7	0	0	1373.88	1	0	1	2	71	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	1661.97	1	0	1	4	174	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	13.64	1	0	15	177549	8686775	7	guanidine	renal transplant	0	0	394.15	1	0	4	84	21635	7	guanidine	renal transplant	34	58.8	0	0	Inf	1	0	0	9	1675	7	guanidine	renal transplant	0	0	Inf	1	0	0	4	2281	7	guanidine	renal transplant	0	0	Inf	1	0	0	8	1506	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	3.46	0.6298702	0	54	177549	8686736	8	menadione	acute lymphocytic leukaemia	0	0	103.17	1	0	8	70	12075	8	menadione	acute lymphocytic leukaemia	6.4	64.6	0	0	Inf	1	0	0	11	1954	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	11	1502	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	2	1241	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	17.61	1	0	12	177549	8686778	9	thyroglobulin	prophylaxis against transplant rejection	0	0	216.06	1	0	4	70	9844	9	thyroglobulin	prophylaxis against transplant rejection	14.5	68.6	0	0	Inf	1	0	0	5	1179	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	5	864	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	2	572	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	4.61	1	0	41	177549	8686749	10	inulin	oesophageal carcinoma	0	0	779.97	1	0	3	10	3020	10	inulin	oesophageal carcinoma	52.4	77.1	0	0	Inf	1	0	0	1	347	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	3	348	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
