results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	8.56	1	0	23	176511	8687805	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	53.73	1	0	5	176511	8687823	2	sulfapyridine	disseminated tuberculosis	0	0	249.52	1	0	2	7	306	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.37	0.31	0.45	9.467666e-37	117	15480	176394	8672348	3	heparin sodium	prophylaxis	0.25	0.11	0.5	1.454931e-06	8	1631	1972	101219	3	heparin sodium	prophylaxis	21.8	81	0.45	0.01	2.59	0.7285386	1	126	419	23978	3	heparin sodium	prophylaxis	1.13	0.03	6.55	0.5918823	1	92	131	13586	3	heparin sodium	prophylaxis	0	0	2.42	0.4090219	0	66	338	14156	3	heparin sodium	prophylaxis	-0.95	0.386741023454501	1	0.3420847	-0.01	0	0.00659476	-0.88	0.1	1.526835e-17	8283708
4	histamine phosphate	0	0	24.94	1	0	9	176511	8687819	4	histamine phosphate	colon cancer	0	0	5151.93	1	0	1	104	14940	4	histamine phosphate	colon cancer	43.5	71	0	0	Inf	1	0	0	19	2297	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	13	2039	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	11	1690	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	1.89	0.05	11.52	0.4190339	1	26	176510	8687802	5	butabarbital sodium	anal fissure	0	0	165.3	1	0	3	4	220	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	53.73	1	0	5	176511	8687823	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	1363.38	1	0	1	32	1142	6	desoxycorticosterone acetate	adrenal insufficiency	25.3	75.7	0	0	899.78	1	0	1	10	233	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	4	124	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	822.92	1	0	1	8	170	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	13.72	1	0	15	176511	8687813	7	guanidine	renal transplant	0	0	136.3	1	0	4	239	21480	7	guanidine	renal transplant	28.9	75	0	0	Inf	1	0	0	29	3185	7	guanidine	renal transplant	0	0	Inf	1	0	0	23	2262	7	guanidine	renal transplant	0	0	Inf	1	0	0	10	1504	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	3.48	0.6296965	0	54	176511	8687774	8	menadione	acute lymphocytic leukaemia	0	0	89.87	1	0	8	80	12065	8	menadione	acute lymphocytic leukaemia	16	70.3	0	0	Inf	1	0	0	15	1507	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	5	1508	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	16	1227	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	17.72	1	0	12	176511	8687816	9	thyroglobulin	prophylaxis against transplant rejection	0	0	207.09	1	0	4	73	9841	9	thyroglobulin	prophylaxis against transplant rejection	53.2	66.9	0	0	Inf	1	0	0	3	497	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	1	868	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	4	570	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	1.23	0.03	7.26	0.5616123	1	40	176510	8687788	10	inulin	oesophageal carcinoma	0	0	703.52	1	0	3	11	3019	10	inulin	oesophageal carcinoma	56.2	61.6	0	0	Inf	1	0	0	1	63	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	3	348	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
