results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	47.16	1	0	23	32604	8831712	1	hydroxyamphetamine	ophthalmological examination	0	0	2266.57	1	0	4	1	240	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	295.22	1	0	5	32604	8831730	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.68	0.48	0.93	0.01404811	39	15558	32565	8816177	3	heparin sodium	prophylaxis	0.67	0.14	1.98	0.6361778	3	1636	282	102909	3	heparin sodium	prophylaxis	26.7	79	0	0	11.14	1	0	115	69	22956	3	heparin sodium	prophylaxis	0	0	13.42	1	0	93	43	13674	3	heparin sodium	prophylaxis	0	0	25	1	0	66	35	14459	3	heparin sodium	prophylaxis	-12.71	3.02076635148179e-06	516.76	0.9803745	0	0.01	0.8389915	0.27	0.23	0.2461952	8283708
4	histamine phosphate	0	0	137.35	1	0	9	32604	8831726	4	histamine phosphate	colon cancer	0	0	4.5036e+15	1	0	1	8	15036	4	histamine phosphate	colon cancer	67	78.7	0	0	Inf	1	0	0	2	1183	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	3	2049	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	1	1700	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	39.7	1	0	27	32604	8831708	5	butabarbital sodium	anal fissure	0	0	242.46	1	0	3	3	221	5	butabarbital sodium	anal fissure	5.9	26.6	0	0	Inf	1	0	0	1	5	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	2	18	5	butabarbital sodium	anal fissure	0	0	1485.71	1	0	1	1	38	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	295.22	1	0	5	32604	8831730	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	4.5036e+15	1	0	1	1	1173	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	75.47	1	0	15	32604	8831720	7	guanidine	renal transplant	0	0	1142.36	1	0	4	30	21689	7	guanidine	renal transplant	50.8	69.4	0	0	Inf	1	0	0	4	1754	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	2283	7	guanidine	renal transplant	0	0	Inf	1	0	0	4	1510	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	19.15	1	0	54	32604	8831681	8	menadione	acute lymphocytic leukaemia	0	0	451.52	1	0	8	17	12128	8	menadione	acute lymphocytic leukaemia	44	44	0	0	Inf	1	0	0	0	0	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	1	1512	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1243	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	97.59	1	0	12	32604	8831723	9	thyroglobulin	prophylaxis against transplant rejection	0	0	1688.45	1	0	4	10	9904	9	thyroglobulin	prophylaxis against transplant rejection	66	66	0	0	Inf	1	0	0	0	0	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	869	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	1	573	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	25.51	1	0	41	32604	8831694	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	3	0	3030	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
