results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	39.14	1	0	23	39251	8825065	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	245.17	1	0	5	39251	8825083	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.93	0.71	1.18	0.5869499	64	15533	39187	8809555	3	heparin sodium	prophylaxis	0.28	0.03	1.04	0.05403944	2	1637	441	102750	3	heparin sodium	prophylaxis	33.3	85.6	0	0	6.88	1	0	117	115	24305	3	heparin sodium	prophylaxis	0	0	10.2	1	0	93	56	13661	3	heparin sodium	prophylaxis	0	0	11.64	1	0	66	73	14421	3	heparin sodium	prophylaxis	-11.85	7.13855630669085e-06	296.39	0.9681115	0.05	0.01	1.8774e-12	-0.33	0.18	0.06550559	8283708
4	histamine phosphate	0	0	113.57	1	0	9	39251	8825079	4	histamine phosphate	colon cancer	0	0	12155.99	1	0	1	39	15005	4	histamine phosphate	colon cancer	62.4	81	0	0	Inf	1	0	0	5	1934	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	6	2046	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	2	1699	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	32.91	1	0	27	39251	8825061	5	butabarbital sodium	anal fissure	0	0	2785.31	1	0	3	1	223	5	butabarbital sodium	anal fissure	23	23	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	1	19	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	245.17	1	0	5	39251	8825083	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	5906.91	1	0	1	7	1167	6	desoxycorticosterone acetate	adrenal insufficiency	61.6	61.6	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	6262.78	1	0	1	1	177	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	62.78	1	0	15	39251	8825073	7	guanidine	renal transplant	0	0	689.35	1	0	4	49	21670	7	guanidine	renal transplant	48.5	75.5	0	0	Inf	1	0	0	9	2249	7	guanidine	renal transplant	0	0	Inf	1	0	0	7	2278	7	guanidine	renal transplant	0	0	Inf	1	0	0	4	1510	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	15.89	1	0	54	39251	8825034	8	menadione	acute lymphocytic leukaemia	0	0	178.55	1	0	8	41	12104	8	menadione	acute lymphocytic leukaemia	12.1	72.5	0	0	Inf	1	0	0	5	1794	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	5	1508	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	2	1241	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	80.78	1	0	12	39251	8825076	9	thyroglobulin	prophylaxis against transplant rejection	0	0	818.15	1	0	4	19	9895	9	thyroglobulin	prophylaxis against transplant rejection	70	75.8	0	0	Inf	1	0	0	3	86	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	5	864	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	1	573	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	21.16	1	0	41	39251	8825047	10	inulin	oesophageal carcinoma	0	0	3520.4	1	0	3	3	3027	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
