results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
1	hydroxyamphetamine	0	0	8.14	1	0	23	185424	8678892	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	51.08	1	0	5	185424	8678910	2	sulfapyridine	disseminated tuberculosis	0	0	5572.18	1	0	2	1	312	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.67	0.58	0.76	3.3e-10	220	15377	185204	8663538	3	heparin sodium	prophylaxis	0.41	0.2	0.74	0.0014	11	1628	1666	101525	3	heparin sodium	prophylaxis	27	79.5	0	0	2.57	0.41	0	119	284	23056	3	heparin sodium	prophylaxis	0	0	4.39	1	0	93	127	13590	3	heparin sodium	prophylaxis	0	0	4.37	1	0	66	190	14304	3	heparin sodium	prophylaxis	-13.12	2.00473234476427e-06	312.56	0.97	-0.01	0	0.01	-0.33	0.12	0
4	histamine phosphate	0	0	23.72	1	0	9	185424	8678906	4	histamine phosphate	colon cancer	0	0	8453.79	1	0	1	60	14984	4	histamine phosphate	colon cancer	31.9	79.5	0	0	Inf	1	0	0	19	3313	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	9	2043	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	14	1687	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	5.85	1.13	19.26	0.018	3	24	185421	8678891	5	butabarbital sodium	anal fissure	0	0	165.3	1	0	3	4	220	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	51.08	1	0	5	185424	8678910	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	1745.11	1	0	1	25	1149	6	desoxycorticosterone acetate	adrenal insufficiency	16.3	80.1	0	0	4831.55	1	0	1	2	267	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	1661.97	1	0	1	4	174	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	13.05	1	0	15	185424	8678900	7	guanidine	renal transplant	0	0	291.83	1	0	4	113	21606	7	guanidine	renal transplant	53.6	74.2	0	0	Inf	1	0	0	6	1788	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	2283	7	guanidine	renal transplant	0	0	Inf	1	0	0	6	1508	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	2.75	0.55	8.51	0.1	3	51	185421	8678864	8	menadione	acute lymphocytic leukaemia	138.69	20.98	730.57	4.8e-06	3	5	52	12093	8	menadione	acute lymphocytic leukaemia	10.5	70.3	0	0	Inf	1	0	0	9	1879	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	6	1507	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	5	1238	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	16.84	1	0	12	185424	8678903	9	thyroglobulin	prophylaxis against transplant rejection	0	0	276.01	1	0	4	55	9859	9	thyroglobulin	prophylaxis against transplant rejection	47.1	74	0	0	Inf	1	0	0	9	823	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	6	863	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	4	570	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	1.17	0.03	6.9	0.58	1	40	185423	8678875	10	inulin	oesophageal carcinoma	0	0	310.79	1	0	3	24	3006	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	aminophylline	0.56	0.34	0.86	0.0065	20	1684	185404	8677231	11	aminophylline	asthma	0.77	0.33	1.53	0.63	8	355	2942	100113	11	aminophylline	asthma	6	72.9	3.68	0.72	11.69	0.056	3	37	372	16865	11	aminophylline	asthma	6.38	1.22	21.22	0.015	3	27	109	6266	11	aminophylline	asthma	0	0	9.12	1	0	21	311	14688	11	aminophylline	asthma	1.14	3.12676836518616	0.6	0.06	-0.02	0	0	-0.33	0.11	0
