results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
885	acebutolol	0.61	0.36	0.97	0.03264946	18	3943	65592	8794786	885	acebutolol	hypertension	1.55	0.62	3.23	0.2304163	7	718	2018	321765	885	acebutolol	hypertension	33	78	4.79	0.97	14.48	0.02715499	3	114	312	56776	885	acebutolol	hypertension	0	0	43.43	1	0	46	63	31871	885	acebutolol	hypertension	4.14	0.84	12.58	0.03913597	3	102	286	40301	885	acebutolol	hypertension	1.47	4.34923514106274	0.59	0.01270224	-0.04	0	5.334658e-35	-1.32	0.14	2.199362e-21	8726728	161	161	80
366	acetic acid, glacial	13.03	9.03	18.29	1.251423e-27	37	381	65573	8798348	366	acetic acid, glacial	hypertension	7.04	1.41	21.47	0.01011941	3	68	2022	322415	366	acetic acid, glacial	hypertension	33	78	0	0	274.21	1	0	4	315	56886	366	acetic acid, glacial	hypertension	0	0	1268.26	1	0	3	63	31914	366	acetic acid, glacial	hypertension	0	0	731.44	1	0	2	289	40401	366	acetic acid, glacial	hypertension	-7.96	0.000349153117459826	231.34	0.9725489	-0.04	0	8.388265e-35	-1.33	0.14	1.711529e-21	8726728	161	161	80
437	acetohexamide	10.32	0.24	68.74	0.09878137	1	13	65609	8798716	437	acetohexamide	hypertension	0	0	383.27	1	0	3	2025	322480	437	acetohexamide	hypertension	33	78	0	0	Inf	1	0	0	315	56890	437	acetohexamide	hypertension	0	0	Inf	1	0	0	63	31917	437	acetohexamide	hypertension	0	0	Inf	1	0	0	289	40403	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.25	0.12	0.48	2.914405e-07	9	4780	65601	8793949	1572	aliskiren hemifumarate	hypertension	0.09	0	0.52	0.0005369672	1	1712	2024	320771	1572	aliskiren hemifumarate	hypertension	33	78	0	0	8.05	1	0	85	315	56805	1572	aliskiren hemifumarate	hypertension	0	0	36.81	1	0	54	63	31863	1572	aliskiren hemifumarate	hypertension	0	0	10.33	1	0	52	289	40351	1572	aliskiren hemifumarate	hypertension	-10.95	1.75580153011059e-05	226.8	0.9614913	-0.04	0	9.166684e-35	-1.33	0.14	1.788205e-21	8726728	161	161	80
482	allopurinol	1.11	1.02	1.2	0.01158145	625	75671	64985	8723058	482	allopurinol	hypertension	0.68	0.5	0.91	0.008191556	48	11045	1977	311438	482	allopurinol	hypertension	33	78	0.42	0.14	1	0.04909903	5	2093	310	54797	482	allopurinol	hypertension	0.54	0.06	2.03	0.58555	2	1834	61	30083	482	allopurinol	hypertension	0.59	0.16	1.54	0.4276316	4	936	285	39467	482	allopurinol	hypertension	-0.31	0.733446956224289	0.41	0.4608223	-0.04	0	2.619583e-34	-1.32	0.14	3.601611e-21	8726728	161	161	80
1142	allopurinol sodium	0	0	0.87	0.02566485	0	572	65610	8798157	1142	allopurinol sodium	hypertension	0	0	10.85	1	0	56	2025	322427	1142	allopurinol sodium	hypertension	33	78	0	0	964.68	1	0	2	315	56888	1142	allopurinol sodium	hypertension	0	0	2795.62	1	0	2	63	31915	1142	allopurinol sodium	hypertension	0	0	336.97	1	0	3	289	40400	1142	allopurinol sodium	hypertension	-7.83	0.000397625480289526	236.33	0.9735796	-0.04	0	8.4836e-35	-1.33	0.14	1.708176e-21	8726728	161	161	80
758	amiloride	0.95	0.66	1.32	0.8684464	35	4950	65575	8793779	758	amiloride	hypertension	0.26	0.03	0.94	0.04171353	2	1220	2023	321263	758	amiloride	hypertension	33	78	0	0	4.15	1	0	163	315	56727	758	amiloride	hypertension	0	0	29.45	1	0	67	63	31850	758	amiloride	hypertension	0	0	3.19	0.6349004	0	164	289	40239	758	amiloride	hypertension	-12.14	5.34152160940495e-06	253.29	0.96177	-0.04	0	1.148991e-34	-1.33	0.14	1.547437e-21	8726728	161	161	80
1018	amlodipine besylate	1.84	1.75	1.93	3.452815e-108	1641	121142	63969	8677587	1018	amlodipine besylate	hypertension	1.24	1.08	1.41	0.001629339	266	35105	1759	287378	1018	amlodipine besylate	hypertension	33	78	1	0.63	1.53	0.9152936	24	4317	291	52573	1018	amlodipine besylate	hypertension	2.9	1.41	5.53	0.002321419	12	2394	51	29523	1018	amlodipine besylate	hypertension	0.89	0.53	1.4	0.7394848	20	3122	269	37281	1018	amlodipine besylate	hypertension	0.22	1.24607673058738	0.19	0.2285421	-0.04	0	6.391935e-35	-1.33	0.14	1.692648e-21	8726728	161	161	80
1471	amlodipine maleate	1.39	0.38	3.58	0.5433631	4	387	65606	8798342	1471	amlodipine maleate	hypertension	3.57	0.73	10.67	0.05504358	3	134	2022	322349	1471	amlodipine maleate	hypertension	33	78	0	0	59.55	1	0	13	315	56877	1471	amlodipine maleate	hypertension	0	0	261.49	1	0	9	63	31908	1471	amlodipine maleate	hypertension	0	0	62.78	1	0	10	289	40393	1471	amlodipine maleate	hypertension	-8.89	0.000137759657981586	197.07	0.9640309	-0.04	0	8.619006e-35	-1.33	0.14	1.712703e-21	8726728	161	161	80
1740	amoxicillin	4.12	3.89	4.36	0	1274	42073	64336	8756656	1740	amoxicillin	hypertension	3.88	2.86	5.15	7.452751e-15	50	2093	1975	320390	1740	amoxicillin	hypertension	33	78	2.98	1.18	6.28	0.01117972	7	430	308	56460	1740	amoxicillin	hypertension	5.67	1.13	17.54	0.01826077	3	279	60	31638	1740	amoxicillin	hypertension	3.09	1.12	6.9	0.0156609	6	275	283	40128	1740	amoxicillin	hypertension	1.18	3.25437420288967	0.34	0.0006046719	-0.04	0	2.535365e-34	-1.33	0.14	1.369168e-21	8726728	161	161	80
