results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	71.27	1	0	23	21580	8842736	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	446.6	1	0	5	21580	8842754	2	sulfapyridine	disseminated tuberculosis	0	0	1148.56	1	0	2	2	311	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.39	0.22	0.65	4.149932e-05	15	15582	21565	8827177	3	heparin sodium	prophylaxis	0	0	2.44	0.4109906	0	1639	97	103094	3	heparin sodium	prophylaxis	23.3	78.2	0	0	43.29	1	0	116	19	23115	3	heparin sodium	prophylaxis	0	0	53.89	1	0	93	12	13705	3	heparin sodium	prophylaxis	0	0	89.41	1	0	66	11	14483	3	heparin sodium	prophylaxis	-12.61	3.33846312195916e-06	844.73	0.9880851	-0.02	0.01	0.06905308	0.19	0.42	0.6576853	8283708
4	histamine phosphate	0	0	207.36	1	0	9	21580	8842750	4	histamine phosphate	colon cancer	0	0	4.5036e+15	1	0	1	5	15039	4	histamine phosphate	colon cancer	56.5	56.5	0	0	Inf	1	0	0	0	0	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	0	2052	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	1	1700	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	60	1	0	27	21580	8842732	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	3	0	224	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	446.6	1	0	5	21580	8842754	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	16384	1	0	1	2	1172	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	113.94	1	0	15	21580	8842744	7	guanidine	renal transplant	0	0	2320.21	1	0	4	16	21703	7	guanidine	renal transplant	52.1	57.7	0	0	Inf	1	0	0	0	475	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	2283	7	guanidine	renal transplant	0	0	Inf	1	0	0	0	1514	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	28.99	1	0	54	21580	8842705	8	menadione	acute lymphocytic leukaemia	0	0	482.41	1	0	8	16	12129	8	menadione	acute lymphocytic leukaemia	3.4	16	0	0	Inf	1	0	0	1	810	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	1	1512	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	2	1241	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	147.82	1	0	12	21580	8842747	9	thyroglobulin	prophylaxis against transplant rejection	0	0	1688.45	1	0	4	10	9904	9	thyroglobulin	prophylaxis against transplant rejection	38.6	44.9	0	0	Inf	1	0	0	1	111	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	3	866	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	574	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	38.6	1	0	41	21580	8842718	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	3	0	3030	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	aminophylline	1.69	0.68	3.49	0.2074484	7	1697	21573	8841062	11	aminophylline	asthma	0	0	4.32	1	0	363	245	102810	11	aminophylline	asthma	18.9	69	0	0	57.81	1	0	34	30	14288	11	aminophylline	asthma	0	0	153.74	1	0	30	7	6368	11	aminophylline	asthma	0	0	105.12	1	0	21	29	14970	11	aminophylline	asthma	-11.04	1.60468177351501e-05	546.91	0.9839009	-0.02	0.01	0.02760251	-0.66	0.43	0.1219413	8214258
12	sulfur	0	0	3.1	0.6377809	0	490	21580	8842269	12	sulfur	acne	0	0	6.49	1	0	50	407	34323	12	sulfur	acne	15.7	43.7	0	0	130.66	1	0	6	19	2733	12	sulfur	acne	0	0	381.31	1	0	3	8	1148	12	sulfur	acne	0	0	155.81	1	0	6	15	2537	12	sulfur	acne	-11.48	1.03347350639195e-05	799.06	0.9885346	-0.01	0.02	0.7000215	0.13	0.45	0.7770164	837178
13	methyltestosterone	1.28	0.03	7.16	0.5438212	1	321	21579	8842438	13	methyltestosterone	hormone replacement therapy	0	0	98.15	1	0	56	30	40719	13	methyltestosterone	hormone replacement therapy	44.5	62.9	0	0	1586.71	1	0	7	2	1935	13	methyltestosterone	hormone replacement therapy	0	0	10141.54	1	0	4	1	1235	13	methyltestosterone	hormone replacement therapy	0	0	1042.96	1	0	6	3	2251	13	methyltestosterone	hormone replacement therapy	-11.73	8.04869976061602e-06	2053.97	0.9954441	-0.02	0.04	0.5685743	-0.53	1.16	0.6487867	835008
14	vasopressin tannate	0	0	239.59	1	0	8	21580	8842751	14	vasopressin tannate	systemic candida	0	0	6270.72	1	0	4	1	712	14	vasopressin tannate	systemic candida	79.8	79.8	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	1	59	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	47	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	0.97	0.87	1.08	0.606305	336	141932	21244	8700827	15	ergocalciferol	osteoporosis	1.76	1.28	2.38	0.0004467547	51	16665	260	149512	15	ergocalciferol	osteoporosis	62.6	87.6	0	0	13	1	0	1645	5	19576	15	ergocalciferol	osteoporosis	0	0	Inf	1	0	228	0	2738	15	ergocalciferol	osteoporosis	0	0	8.16	1	0	2175	7	25573	15	ergocalciferol	osteoporosis	-15.2	2.50451637232762e-07	1592.19	0.992381	0.02	0.03	0.5736209	-15.24	1434.85	0.9915274	8307218
16	menadiol sodium diphosphate	0	0	2213.22	1	0	2	21580	8842757	16	menadiol sodium diphosphate	cystic fibrosis	0	0	4.5036e+15	1	0	1	5	10024	16	menadiol sodium diphosphate	cystic fibrosis	32.6	32.6	0	0	Inf	1	0	0	0	0	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	0	2069	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	1	2437	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	0.48	0.01	2.68	0.7294126	1	853	21579	8841906	17	estrone	hormone replacement therapy	0	0	29.31	1	0	183	30	40592	17	estrone	hormone replacement therapy	44.5	62.9	0	0	4.5036e+15	1	0	1	2	1941	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	1	1239	17	estrone	hormone replacement therapy	0	0	2529.55	1	0	3	3	2254	17	estrone	hormone replacement therapy	-10.83	1.97966069719794e-05	2280.05	0.9962094	-0.02	0.04	0.5685604	-0.53	1.16	0.6474104	835008
