results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
885	acebutolol	0.62	0.23	1.35	0.33	6	3955	21574	8838804	885	acebutolol	hypertension	1.51	0.18	5.49	0.38	2	723	593	323190	885	acebutolol	hypertension	41.8	78.6	0	0	21.9	1	0	116	85	56384	885	acebutolol	hypertension	0	0	94.21	1	0	46	30	31904	885	acebutolol	hypertension	0	0	22.92	1	0	105	65	40522	885	acebutolol	hypertension	-10.86	1.92115288153726e-05	318.42	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
366	acetic acid, glacial	0	0	3.63	0.63	0	418	21580	8842341	366	acetic acid, glacial	hypertension	0	0	29.13	1	0	71	595	323842	366	acetic acid, glacial	hypertension	41.8	78.6	0	0	1006.77	1	0	4	85	56496	366	acetic acid, glacial	hypertension	0	0	2763.12	1	0	3	30	31947	366	acetic acid, glacial	hypertension	0	0	3515.16	1	0	2	65	40625	366	acetic acid, glacial	hypertension	-7.82	0.000401621682803358	389.72	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
437	acetohexamide	0	0	123.53	1	0	14	21580	8842745	437	acetohexamide	hypertension	0	0	1287.81	1	0	3	595	323910	437	acetohexamide	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	437	acetohexamide	hypertension	0	0	Inf	1	0	0	30	31950	437	acetohexamide	hypertension	0	0	Inf	1	0	0	65	40627	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.43	0.14	1	0.054	5	4784	21575	8837975	1572	aliskiren hemifumarate	hypertension	0.95	0.2	2.81	1	3	1710	592	322203	1572	aliskiren hemifumarate	hypertension	41.8	78.6	8.39	0.21	49.44	0.11	1	80	84	56420	1572	aliskiren hemifumarate	hypertension	0	0	79.6	1	0	54	30	31896	1572	aliskiren hemifumarate	hypertension	12.43	0.3	74.96	0.08	1	51	64	40576	1572	aliskiren hemifumarate	hypertension	2.11	8.24824128462666	1.01	0.04	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
482	allopurinol	0.52	0.42	0.63	8.7e-13	97	76199	21483	8766560	482	allopurinol	hypertension	0.58	0.3	1.02	0.069	12	11081	583	312832	482	allopurinol	hypertension	41.8	78.6	0.6	0.07	2.25	0.77	2	2172	83	54328	482	allopurinol	hypertension	1.17	0.14	4.66	0.69	2	1834	28	30116	482	allopurinol	hypertension	0	0	2.47	0.41	0	940	65	39687	482	allopurinol	hypertension	-0.34	0.71177032276261	0.72	0.64	-0.03	0.01	0	-0.55	0.22	0.01	161	161	80
1142	allopurinol sodium	0	0	2.65	0.65	0	572	21580	8842187	1142	allopurinol sodium	hypertension	0	0	37.16	1	0	56	595	323857	1142	allopurinol sodium	hypertension	41.8	78.6	0	0	1006.77	1	0	4	85	56496	1142	allopurinol sodium	hypertension	0	0	6391.86	1	0	2	30	31948	1142	allopurinol sodium	hypertension	0	0	1543.3	1	0	3	65	40624	1142	allopurinol sodium	hypertension	-7.7	0.000452827182886797	393.42	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
758	amiloride	0.66	0.28	1.3	0.31	8	4977	21572	8837782	758	amiloride	hypertension	0	0	1.64	0.18	0	1222	595	322691	758	amiloride	hypertension	41.8	78.6	0	0	15.5	1	0	163	85	56337	758	amiloride	hypertension	0	0	63.98	1	0	67	30	31883	758	amiloride	hypertension	0	0	14.56	1	0	164	65	40463	758	amiloride	hypertension	-11.85	7.13855630669085e-06	425.19	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1018	amlodipine besylate	0.8	0.7	0.91	0.00033	239	122544	21341	8720215	1018	amlodipine besylate	hypertension	0.99	0.75	1.28	1	64	35307	531	288606	1018	amlodipine besylate	hypertension	41.8	78.6	1.8	0.86	3.42	0.096	11	4309	74	52191	1018	amlodipine besylate	hypertension	0.42	0.01	2.56	0.72	1	2405	29	29545	1018	amlodipine besylate	hypertension	2.18	0.99	4.32	0.032	10	3132	55	37495	1018	amlodipine besylate	hypertension	0.48	1.61607440219289	0.32	0.13	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1471	amlodipine maleate	2.11	0.25	7.66	0.25	2	389	21578	8842370	1471	amlodipine maleate	hypertension	0	0	14.89	1	0	137	595	323776	1471	amlodipine maleate	hypertension	41.8	78.6	0	0	221.41	1	0	13	85	56487	1471	amlodipine maleate	hypertension	0	0	559.82	1	0	9	30	31941	1471	amlodipine maleate	hypertension	0	0	283.77	1	0	10	65	40617	1471	amlodipine maleate	hypertension	-8.73	0.000161662456225505	331.06	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1740	amoxicillin	1.62	1.38	1.88	6.8e-09	170	43177	21410	8799582	1740	amoxicillin	hypertension	3.37	1.78	5.83	0.00021	13	2130	582	321783	1740	amoxicillin	hypertension	41.8	78.6	0	0	5.86	1	0	426	85	56074	1740	amoxicillin	hypertension	0	0	14.78	1	0	282	30	31668	1740	amoxicillin	hypertension	0	0	8.44	1	0	281	65	40346	1740	amoxicillin	hypertension	-12.94	2.40010037156368e-06	445.16	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
