results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
1	hydroxyamphetamine	0	0	24.54	1	0	23	62416	8801900	1	hydroxyamphetamine	ophthalmological examination	0	0	364.54	1	0	4	2	239	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	153.99	1	0	5	62416	8801918	2	sulfapyridine	disseminated tuberculosis	0	0	5572.18	1	0	2	1	312	2	sulfapyridine	disseminated tuberculosis	36.2	36.2	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	1	46	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.4	0.29	0.54	1.3e-12	44	15553	62372	8786370	3	heparin sodium	prophylaxis	0	0	0.49	0.0012	0	1639	475	102716	3	heparin sodium	prophylaxis	37.6	80.4	0	0	6.46	1	0	102	127	21966	3	heparin sodium	prophylaxis	0	0	9.83	1	0	93	58	13659	3	heparin sodium	prophylaxis	0	0	9.83	1	0	66	86	14408	3	heparin sodium	prophylaxis	-12.14	5.34152160940495e-06	310.89	0.97	0.02	0.01	0	-0.38	0.17	0.02
4	histamine phosphate	0	0	71.43	1	0	9	62416	8801914	4	histamine phosphate	colon cancer	0	0	13260.27	1	0	1	35	15009	4	histamine phosphate	colon cancer	35	86.2	0	0	Inf	1	0	0	16	3502	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	9	2043	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	9	1692	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	5.42	0.13	32.99	0.17	1	26	62415	8801897	5	butabarbital sodium	anal fissure	0	0	466	1	0	3	2	222	5	butabarbital sodium	anal fissure	5	22	0	0	Inf	1	0	0	0	3	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	2	18	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	153.99	1	0	5	62416	8801918	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	4242.39	1	0	1	10	1164	6	desoxycorticosterone acetate	adrenal insufficiency	55.9	71.8	0	0	Inf	1	0	0	0	112	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	3274.93	1	0	1	2	176	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	21.68	2.38	96.02	0.0049	2	13	62414	8801910	7	guanidine	renal transplant	0	0	604.74	1	0	4	55	21664	7	guanidine	renal transplant	37	57.2	0	0	Inf	1	0	0	7	1402	7	guanidine	renal transplant	0	0	Inf	1	0	0	5	2280	7	guanidine	renal transplant	0	0	Inf	1	0	0	5	1509	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	9.97	1	0	54	62416	8801869	8	menadione	acute lymphocytic leukaemia	0	0	210.32	1	0	8	35	12110	8	menadione	acute lymphocytic leukaemia	17.9	61.9	0	0	Inf	1	0	0	5	1205	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	3	1510	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	4	1239	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	50.76	1	0	12	62416	8801911	9	thyroglobulin	prophylaxis against transplant rejection	0	0	595.17	1	0	4	26	9888	9	thyroglobulin	prophylaxis against transplant rejection	42.6	73	0	0	Inf	1	0	0	5	932	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	2	867	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	6	568	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	3.53	0.09	20.8	0.25	1	40	62415	8801883	10	inulin	oesophageal carcinoma	0	0	4.5036e+15	1	0	3	1	3029	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
