results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
885	acebutolol	0.35	0.18	0.62	2.824464e-05	12	3949	75259	8785119	885	acebutolol	hypertension	0	0	0.59	0.003740147	0	725	2767	321016	885	acebutolol	hypertension	41	82.2	0	0	2.37	0.4133445	0	128	757	61222	885	acebutolol	hypertension	0	0	10.32	1	0	46	258	31676	885	acebutolol	hypertension	0	0	2.46	0.4105779	0	105	584	40003	885	acebutolol	hypertension	-12.12	5.44942750369681e-06	193.94	0.9501868	-0.02	0	4.07384e-12	-0.6	0.08	2.010148e-15	8726728	161	161	80
366	acetic acid, glacial	1.13	0.31	2.91	0.785098	4	414	75267	8788654	366	acetic acid, glacial	hypertension	5.13	1.03	15.66	0.02303954	3	68	2764	321673	366	acetic acid, glacial	hypertension	41	82.2	0	0	122.72	1	0	4	757	61346	366	acetic acid, glacial	hypertension	0	0	296.43	1	0	3	258	31719	366	acetic acid, glacial	hypertension	0	0	367.95	1	0	2	584	40106	366	acetic acid, glacial	hypertension	-8.01	0.000332124718983941	143.86	0.9555743	-0.02	0	3.557286e-12	-0.6	0.08	2.274051e-15	8726728	161	161	80
437	acetohexamide	0	0	35.21	1	0	14	75271	8789054	437	acetohexamide	hypertension	0	0	279.67	1	0	3	2767	321738	437	acetohexamide	hypertension	41	82.2	0	0	Inf	1	0	0	757	61350	437	acetohexamide	hypertension	0	0	Inf	1	0	0	258	31722	437	acetohexamide	hypertension	0	0	Inf	1	0	0	584	40108	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.76	0.52	1.08	0.1344635	31	4758	75240	8784310	1572	aliskiren hemifumarate	hypertension	0.75	0.37	1.35	0.4277751	11	1702	2756	320039	1572	aliskiren hemifumarate	hypertension	41	82.2	0	0	3.56	0.6301449	0	86	757	61264	1572	aliskiren hemifumarate	hypertension	0	0	8.74	1	0	54	258	31668	1572	aliskiren hemifumarate	hypertension	0	0	5.06	1	0	52	584	40056	1572	aliskiren hemifumarate	hypertension	-11.03	1.62080909345575e-05	140.54	0.9374467	-0.02	0	3.757696e-12	-0.6	0.08	2.401588e-15	8726728	161	161	80
482	allopurinol	0.76	0.69	0.83	1.316848e-10	492	75804	74779	8713264	482	allopurinol	hypertension	0.83	0.65	1.04	0.1033957	79	11014	2688	310727	482	allopurinol	hypertension	41	82.2	0.66	0.4	1.03	0.0726917	20	2413	737	58937	482	allopurinol	hypertension	1.01	0.56	1.71	0.8932134	15	1821	243	29901	482	allopurinol	hypertension	0.44	0.16	0.96	0.03607022	6	934	578	39174	482	allopurinol	hypertension	-0.23	0.794533602503334	0.22	0.3085894	-0.02	0	6.585512e-12	-0.59	0.08	5.664448e-15	8726728	161	161	80
1142	allopurinol sodium	0.2	0.01	1.14	0.1032631	1	571	75270	8788497	1142	allopurinol sodium	hypertension	0	0	7.92	1	0	56	2767	321685	1142	allopurinol sodium	hypertension	41	82.2	0	0	88.61	1	0	5	757	61345	1142	allopurinol sodium	hypertension	0	0	653.19	1	0	2	258	31720	1142	allopurinol sodium	hypertension	0	0	166.02	1	0	3	584	40105	1142	allopurinol sodium	hypertension	-8	0.000335462627902512	144.76	0.955917	-0.02	0	3.589209e-12	-0.6	0.08	2.264519e-15	8726728	161	161	80
758	amiloride	0.75	0.52	1.07	0.121896	32	4953	75239	8784115	758	amiloride	hypertension	0.77	0.33	1.52	0.6374529	8	1214	2759	320527	758	amiloride	hypertension	41	82.2	0.42	0.01	2.37	0.735645	1	193	756	61157	758	amiloride	hypertension	0	0	6.99	1	0	67	258	31655	758	amiloride	hypertension	0.42	0.01	2.38	0.7348647	1	163	583	39945	758	amiloride	hypertension	-1	0.367879441171442	1	0.3182622	-0.02	0	4.142236e-12	-0.6	0.08	2.018613e-15	8726728	161	161	80
1018	amlodipine besylate	1.16	1.09	1.23	8.711343e-07	1203	121580	74068	8667488	1018	amlodipine besylate	hypertension	1.12	1	1.26	0.04987249	334	35037	2433	286704	1018	amlodipine besylate	hypertension	41	82.2	1.42	1.11	1.8	0.004662149	79	4657	678	56693	1018	amlodipine besylate	hypertension	2.01	1.37	2.87	0.0003197932	36	2370	222	29352	1018	amlodipine besylate	hypertension	1.12	0.82	1.5	0.4346854	50	3092	534	37016	1018	amlodipine besylate	hypertension	0.33	1.39096812846378	0.11	0.003689568	-0.02	0	2.58634e-12	-0.6	0.08	2.329267e-15	8726728	161	161	80
1471	amlodipine maleate	1.51	0.49	3.56	0.3955255	5	386	75266	8788682	1471	amlodipine maleate	hypertension	3.5	0.94	9.18	0.03039439	4	133	2763	321608	1471	amlodipine maleate	hypertension	41	82.2	0	0	22.64	1	0	15	757	61335	1471	amlodipine maleate	hypertension	0	0	62.49	1	0	9	258	31713	1471	amlodipine maleate	hypertension	0	0	30.69	1	0	10	584	40098	1471	amlodipine maleate	hypertension	-9	0.00012340980408668	122.03	0.9412031	-0.02	0	3.633736e-12	-0.6	0.08	2.274535e-15	8726728	161	161	80
1740	amoxicillin	0.91	0.82	1.02	0.1037998	337	43010	74934	8746058	1740	amoxicillin	hypertension	0.49	0.22	0.93	0.02452797	9	2134	2758	319607	1740	amoxicillin	hypertension	41	82.2	0.69	0.19	1.79	0.6706406	4	468	753	60882	1740	amoxicillin	hypertension	0.44	0.01	2.47	0.7320694	1	281	257	31441	1740	amoxicillin	hypertension	0.74	0.15	2.2	0.8025783	3	278	581	39830	1740	amoxicillin	hypertension	-0.5	0.606530659712633	0.5	0.3248777	-0.02	0	3.268983e-12	-0.6	0.08	2.428893e-15	8726728	161	161	80
