results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
1	hydroxyamphetamine	0	0	54.06	1	0	23	28442	8835874	1	hydroxyamphetamine	ophthalmological examination	0	0	2266.57	1	0	4	1	240	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	338.51	1	0	5	28442	8835892	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.22	0.11	0.39	6e-11	11	15586	28431	8820311	3	heparin sodium	prophylaxis	0	0	1.11	0.085	0	1639	211	102980	3	heparin sodium	prophylaxis	19.5	73.3	0	0	29.17	1	0	103	27	20184	3	heparin sodium	prophylaxis	0	0	87.63	1	0	93	8	13709	3	heparin sodium	prophylaxis	0	0	39.14	1	0	66	23	14471	3	heparin sodium	prophylaxis	-12.81	2.73330242596469e-06	829.3	0.99	-0.02	0.01	0.01	-0.95	0.41	0.02
4	histamine phosphate	0	0	157.75	1	0	9	28442	8835888	4	histamine phosphate	colon cancer	0	0	4.5036e+15	1	0	1	9	15035	4	histamine phosphate	colon cancer	66.8	75.6	0	0	Inf	1	0	0	3	1050	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	0	2052	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	5	1696	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	45.54	1	0	27	28442	8835870	5	butabarbital sodium	anal fissure	0	0	2785.31	1	0	3	1	223	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	338.51	1	0	5	28442	8835892	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	16384	1	0	1	2	1172	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	86.64	1	0	15	28442	8835882	7	guanidine	renal transplant	0	0	1952.06	1	0	4	17	21702	7	guanidine	renal transplant	35.8	49.9	0	0	Inf	1	0	0	2	802	7	guanidine	renal transplant	0	0	Inf	1	0	0	0	2285	7	guanidine	renal transplant	0	0	Inf	1	0	0	4	1510	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	21.97	1	0	54	28442	8835843	8	menadione	acute lymphocytic leukaemia	0	0	8009.44	1	0	8	2	12143	8	menadione	acute lymphocytic leukaemia	13.2	16.8	0	0	Inf	1	0	0	0	190	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1513	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	2	1241	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	111.45	1	0	12	28442	8835885	9	thyroglobulin	prophylaxis against transplant rejection	0	0	3195.62	1	0	4	6	9908	9	thyroglobulin	prophylaxis against transplant rejection	NA	NA	0	0	Inf	1	0	0	0	0	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	869	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	574	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	29.26	1	0	41	28442	8835856	10	inulin	oesophageal carcinoma	0	0	2309.55	1	0	3	4	3026	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
