results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
885	acebutolol	1.23	1	1.48	0.03770351	110	3851	201815	8658563	885	acebutolol	hypertension	1.38	0.93	1.98	0.0866797	31	694	10149	313634	885	acebutolol	hypertension	46.7	87	0.44	0.05	1.64	0.3325956	2	126	2195	61468	885	acebutolol	hypertension	1.16	0.14	4.45	0.6925444	2	44	1205	30729	885	acebutolol	hypertension	0.31	0.01	1.75	0.3828639	1	104	1235	39352	885	acebutolol	hypertension	-0.57	0.565525438699537	0.58	0.3305708	0.01	0	7.72205e-20	0.24	0.04	8.412873e-09	8726728	161	161	80
366	acetic acid, glacial	2.5	1.57	3.8	0.0001861081	23	395	201902	8662019	366	acetic acid, glacial	hypertension	0.44	0.01	2.54	0.7287989	1	70	10179	314258	366	acetic acid, glacial	hypertension	46.7	87	0	0	67.86	1	0	3	2197	61591	366	acetic acid, glacial	hypertension	0	0	61.63	1	0	3	1207	30770	366	acetic acid, glacial	hypertension	0	0	170.11	1	0	2	1236	39454	366	acetic acid, glacial	hypertension	-8.27	0.000256085291257132	87.5	0.924737	0.01	0	8.607068e-20	0.24	0.04	7.754607e-09	8726728	161	161	80
437	acetohexamide	3.3	0.08	21.96	0.2757375	1	13	201924	8662401	437	acetohexamide	hypertension	0	0	74.72	1	0	3	10180	314325	437	acetohexamide	hypertension	46.7	87	0	0	Inf	1	0	0	2197	61594	437	acetohexamide	hypertension	0	0	Inf	1	0	0	1207	30773	437	acetohexamide	hypertension	0	0	Inf	1	0	0	1236	39456	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.5	0.37	0.65	1.223812e-08	55	4734	201870	8657680	1572	aliskiren hemifumarate	hypertension	0.35	0.21	0.54	6.494623e-08	19	1694	10161	312634	1572	aliskiren hemifumarate	hypertension	46.7	87	0.96	0.19	2.89	1	3	88	2194	61506	1572	aliskiren hemifumarate	hypertension	1.5	0.3	4.65	0.4588163	3	51	1204	30722	1572	aliskiren hemifumarate	hypertension	0	0	2.35	0.4104638	0	52	1236	39404	1572	aliskiren hemifumarate	hypertension	-0.21	0.810584245970187	0.59	0.7219219	0.01	0	8.567803e-20	0.24	0.04	7.757709e-09	8726728	161	161	80
482	allopurinol	2.56	2.48	2.64	0	4245	72051	197680	8590363	482	allopurinol	hypertension	1.94	1.78	2.1	3.854066e-47	636	10457	9544	303871	482	allopurinol	hypertension	46.7	87	1.94	1.64	2.29	3.676154e-13	163	2441	2034	59153	482	allopurinol	hypertension	1.78	1.45	2.17	9.445419e-08	115	1721	1092	29052	482	allopurinol	hypertension	2.36	1.79	3.08	6.614322e-09	63	877	1173	38579	482	allopurinol	hypertension	0.61	1.84043139878164	0.08	3.75373e-14	0.01	0	6.301018e-18	0.21	0.04	4.794069e-07	8726728	161	161	80
1142	allopurinol sodium	1.47	0.88	2.32	0.1200098	19	553	201906	8661861	1142	allopurinol sodium	hypertension	1.14	0.14	4.34	0.6956376	2	54	10178	314274	1142	allopurinol sodium	hypertension	46.7	87	0	0	30.6	1	0	5	2197	61589	1142	allopurinol sodium	hypertension	0	0	135.83	1	0	2	1207	30771	1142	allopurinol sodium	hypertension	0	0	77.29	1	0	3	1236	39453	1142	allopurinol sodium	hypertension	-8.27	0.000256085291257132	87.98	0.925087	0.01	0	8.54022e-20	0.24	0.04	7.842792e-09	8726728	161	161	80
758	amiloride	1.89	1.64	2.17	2.382914e-16	210	4775	201715	8657639	758	amiloride	hypertension	1.35	1	1.78	0.04771759	51	1171	10129	313157	758	amiloride	hypertension	46.7	87	1.59	0.78	2.92	0.125056	11	194	2186	61400	758	amiloride	hypertension	1.62	0.43	4.37	0.322212	4	63	1203	30710	758	amiloride	hypertension	1.64	0.69	3.32	0.1664967	8	156	1228	39300	758	amiloride	hypertension	0.44	1.55270721851134	0.3	0.1423352	0.01	0	1.078215e-19	0.24	0.04	6.725822e-09	8726728	161	161	80
1018	amlodipine besylate	1.92	1.87	1.97	0	5198	117585	196727	8544829	1018	amlodipine besylate	hypertension	1.31	1.24	1.39	4.871867e-19	1395	33976	8785	280352	1018	amlodipine besylate	hypertension	46.7	87	1.21	1.04	1.4	0.01434565	199	4694	1998	56900	1018	amlodipine besylate	hypertension	1.36	1.11	1.66	0.002608447	119	2287	1088	28486	1018	amlodipine besylate	hypertension	1.16	0.94	1.42	0.1439102	109	3033	1127	36423	1018	amlodipine besylate	hypertension	0.22	1.24607673058738	0.07	0.001758609	0.01	0	1.147255e-19	0.24	0.04	7.139952e-09	8726728	161	161	80
1471	amlodipine maleate	1.71	0.95	2.86	0.05833501	15	376	201910	8662038	1471	amlodipine maleate	hypertension	1.92	0.81	3.89	0.08036531	8	129	10172	314199	1471	amlodipine maleate	hypertension	46.7	87	0	0	6.8	1	0	17	2197	61577	1471	amlodipine maleate	hypertension	0	0	12.93	1	0	9	1207	30764	1471	amlodipine maleate	hypertension	0	0	14.25	1	0	10	1236	39446	1471	amlodipine maleate	hypertension	-10.28	3.4312528777718e-05	122.49	0.9331185	0.01	0	8.286146e-20	0.24	0.04	7.766416e-09	8726728	161	161	80
1740	amoxicillin	2.31	2.21	2.41	7.373942e-251	2201	41146	199724	8621268	1740	amoxicillin	hypertension	2.21	1.85	2.62	3.340524e-16	142	2001	10038	312327	1740	amoxicillin	hypertension	46.7	87	1.61	1.04	2.4	0.02330713	26	455	2171	61139	1740	amoxicillin	hypertension	1.96	1.17	3.11	0.006843858	20	262	1187	30511	1740	amoxicillin	hypertension	0.81	0.32	1.71	0.7277473	7	274	1229	39182	1740	amoxicillin	hypertension	0.37	1.44773461466332	0.2	0.06021968	0.01	0	7.891631e-20	0.24	0.04	8.888747e-09	8726728	161	161	80
