results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
885	acebutolol	0.53	0.19	1.15	0.1344648	6	3955	25386	8834992	885	acebutolol	hypertension	0.8	0.02	4.51	1	1	724	555	323228	885	acebutolol	hypertension	28	75.6	0	0	22.39	1	0	90	102	53612	885	acebutolol	hypertension	0	0	56.32	1	0	46	49	31885	885	acebutolol	hypertension	0	0	22.22	1	0	105	67	40520	885	acebutolol	hypertension	-10.87	1.9020370909727e-05	315.47	0.9725103	-0.04	0	1.259675e-19	-0.12	0.19	0.5151978	8726728	161	161	80
366	acetic acid, glacial	0.83	0.02	4.68	1	1	417	25391	8838530	366	acetic acid, glacial	hypertension	0	0	31.18	1	0	71	556	323881	366	acetic acid, glacial	hypertension	28	75.6	0	0	795.51	1	0	4	102	53698	366	acetic acid, glacial	hypertension	0	0	1623.17	1	0	3	49	31928	366	acetic acid, glacial	hypertension	0	0	3399.02	1	0	2	67	40623	366	acetic acid, glacial	hypertension	-8.04	0.000322308950119019	386.27	0.9833975	-0.04	0	1.176032e-19	-0.12	0.19	0.5191238	8726728	161	161	80
437	acetohexamide	0	0	105.16	1	0	14	25392	8838933	437	acetohexamide	hypertension	0	0	1538.23	1	0	3	556	323949	437	acetohexamide	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	437	acetohexamide	hypertension	0	0	Inf	1	0	0	49	31931	437	acetohexamide	hypertension	0	0	Inf	1	0	0	67	40625	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.22	0.04	0.64	0.00104243	3	4786	25389	8834161	1572	aliskiren hemifumarate	hypertension	0.34	0.01	1.9	0.3813339	1	1712	555	322240	1572	aliskiren hemifumarate	hypertension	28	75.6	0	0	24.62	1	0	82	102	53620	1572	aliskiren hemifumarate	hypertension	0	0	47.73	1	0	54	49	31877	1572	aliskiren hemifumarate	hypertension	0	0	45.65	1	0	52	67	40573	1572	aliskiren hemifumarate	hypertension	-10.95	1.75580153011059e-05	378.06	0.9768965	-0.04	0	1.212621e-19	-0.12	0.19	0.5213892	8726728	161	161	80
482	allopurinol	0.58	0.48	0.69	2.236928e-11	127	76169	25265	8762778	482	allopurinol	hypertension	0.68	0.36	1.17	0.1970525	13	11080	543	312872	482	allopurinol	hypertension	28	75.6	0.27	0.01	1.56	0.2716163	1	1877	101	51825	482	allopurinol	hypertension	0.7	0.08	2.67	1	2	1834	47	30097	482	allopurinol	hypertension	0	0	2.39	0.4103903	0	940	67	39685	482	allopurinol	hypertension	-0.51	0.600495578812266	0.72	0.4788084	-0.04	0	2.741965e-19	-0.11	0.19	0.5606736	8726728	161	161	80
1142	allopurinol sodium	0.61	0.02	3.41	1	1	571	25391	8838376	1142	allopurinol sodium	hypertension	0	0	39.74	1	0	56	556	323896	1142	allopurinol sodium	hypertension	28	75.6	0	0	2906.53	1	0	2	102	53700	1142	allopurinol sodium	hypertension	0	0	3689.01	1	0	2	49	31929	1142	allopurinol sodium	hypertension	0	0	1492.42	1	0	3	67	40622	1142	allopurinol sodium	hypertension	-7.72	0.000443860603902874	390.05	0.9842129	-0.04	0	1.180563e-19	-0.12	0.19	0.5190298	8726728	161	161	80
758	amiloride	0.56	0.24	1.1	0.1098261	8	4977	25384	8833970	758	amiloride	hypertension	0.95	0.12	3.47	1	2	1220	554	322732	758	amiloride	hypertension	28	75.6	3.33	0.08	19.27	0.2621841	1	159	101	53543	758	amiloride	hypertension	0	0	38.18	1	0	67	49	31864	758	amiloride	hypertension	3.76	0.09	21.98	0.2372266	1	163	66	40462	758	amiloride	hypertension	1.23	3.42122953628967	1.01	0.2215463	-0.04	0	9.406434e-20	-0.12	0.19	0.5300174	8726728	161	161	80
1018	amlodipine besylate	0.61	0.53	0.7	1.014062e-14	217	122566	25175	8716381	1018	amlodipine besylate	hypertension	0.99	0.74	1.29	1	60	35311	496	288641	1018	amlodipine besylate	hypertension	28	75.6	0.5	0.13	1.32	0.1914122	4	4074	98	49628	1018	amlodipine besylate	hypertension	0.8	0.16	2.5	1	3	2403	46	29528	1018	amlodipine besylate	hypertension	0.18	0	1.04	0.0624699	1	3141	66	37484	1018	amlodipine besylate	hypertension	-0.8	0.449328964117222	0.51	0.116155	-0.04	0	1.549378e-19	-0.12	0.19	0.5202451	8726728	161	161	80
1471	amlodipine maleate	0	0	3.3	0.6340992	0	391	25392	8838556	1471	amlodipine maleate	hypertension	0	0	15.94	1	0	137	556	323815	1471	amlodipine maleate	hypertension	28	75.6	0	0	191.99	1	0	12	102	53690	1471	amlodipine maleate	hypertension	0	0	338.05	1	0	9	49	31922	1471	amlodipine maleate	hypertension	0	0	275.17	1	0	10	67	40615	1471	amlodipine maleate	hypertension	-8.79	0.000152247967685297	328.92	0.9786728	-0.04	0	1.189512e-19	-0.12	0.19	0.5191656	8726728	161	161	80
1740	amoxicillin	1.4	1.2	1.62	3.249029e-05	173	43174	25219	8795773	1740	amoxicillin	hypertension	1.09	0.3	2.81	0.7895718	4	2139	552	321813	1740	amoxicillin	hypertension	28	75.6	0	0	4.8	1	0	411	102	53291	1740	amoxicillin	hypertension	0	0	8.83	1	0	282	49	31649	1740	amoxicillin	hypertension	0	0	8.18	1	0	281	67	40344	1740	amoxicillin	hypertension	-13.2	1.85060119758191e-06	434.29	0.9757498	-0.04	0	9.534975e-20	-0.12	0.19	0.5231943	8726728	161	161	80
563	arginine	0.24	0.01	1.34	0.1411836	1	1453	25391	8837494	563	arginine	hypertension	0	0	8.9	1	0	244	556	323708	563	arginine	hypertension	28	75.6	0	0	31.26	1	0	65	102	53637	563	arginine	hypertension	0	0	63.59	1	0	41	49	31890	563	arginine	hypertension	0	0	65.09	1	0	37	67	40588	563	arginine	hypertension	-11.11	1.49619536854111e-05	440.47	0.9798701	-0.04	0	1.169763e-19	-0.12	0.19	0.5198417	8726728	161	161	80
55	ascorbic acid	1.08	0.85	1.34	0.5220618	80	25899	25312	8813048	55	ascorbic acid	hypertension	1.17	0.32	3.01	0.5911692	4	1999	552	321953	55	ascorbic acid	hypertension	28	75.6	0	0	16.55	1	0	121	102	53581	55	ascorbic acid	hypertension	0	0	30.65	1	0	83	49	31848	55	ascorbic acid	hypertension	0	0	23.11	1	0	101	67	40524	55	ascorbic acid	hypertension	-10.93	1.79127107383985e-05	282.86	0.9691816	-0.04	0	1.249479e-19	-0.12	0.19	0.5181007	8726728	161	161	80
106	aspirin	0.63	0.59	0.69	1.93956e-35	668	360746	24724	8478201	106	aspirin	hypertension	1	0.77	1.28	1	72	42108	484	281844	106	aspirin	hypertension	28	75.6	0.83	0.4	1.56	0.6563657	11	6820	91	46882	106	aspirin	hypertension	0.95	0.36	2.15	1	7	4747	42	27184	106	aspirin	hypertension	0.6	0.19	1.49	0.3442768	5	4780	62	35845	106	aspirin	hypertension	-0.04	0.960789439152323	0.31	0.8934684	-0.04	0	2.547351e-19	-0.12	0.19	0.5235317	8726728	161	161	80
767	atenolol	1.05	0.94	1.17	0.3461673	328	108450	25064	8730497	767	atenolol	hypertension	1.83	1.4	2.35	1.011584e-05	71	24016	485	299936	767	atenolol	hypertension	28	75.6	0.73	0.23	1.77	0.6875593	5	3535	97	50167	767	atenolol	hypertension	0.33	0.01	1.95	0.3677107	1	1879	48	30052	767	atenolol	hypertension	0.84	0.22	2.25	1	4	2865	63	37760	767	atenolol	hypertension	-0.45	0.637628151621773	0.46	0.3248823	-0.04	0	1.173114e-19	-0.13	0.19	0.5065541	8726728	161	161	80
