results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
1	hydroxyamphetamine	0	0	11.02	1	0	23	137808	8726508	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	69.1	1	0	5	137808	8726526	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.12	0.08	0.17	2.608863e-67	30	15567	137778	8710964	3	heparin sodium	prophylaxis	0	0	0.48	0.0007630552	0	1639	487	102704	3	heparin sodium	prophylaxis	31.5	82.4	0	0	8.64	1	0	121	87	23773	3	heparin sodium	prophylaxis	0	0	11.24	1	0	93	51	13666	3	heparin sodium	prophylaxis	0	0	18.77	1	0	66	46	14448	3	heparin sodium	prophylaxis	-13.06	2.12869806971227e-06	512.2	0.979659	-0.02	0	0.0001760138	0.2	0.2	0.3214816	8283708
4	histamine phosphate	0	0	32.08	1	0	9	137808	8726522	4	histamine phosphate	colon cancer	0	0	4.5036e+15	1	0	1	15	15029	4	histamine phosphate	colon cancer	57.1	77.5	0	0	Inf	1	0	0	2	2241	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	4	2048	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	0	1701	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	9.27	1	0	27	137808	8726504	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	3	0	224	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	69.1	1	0	5	137808	8726526	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	3876.97	1	0	1	11	1163	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	17.66	1	0	15	137808	8726516	7	guanidine	renal transplant	0	0	941.88	1	0	4	36	21683	7	guanidine	renal transplant	17	69	0	0	Inf	1	0	0	2	3111	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	2283	7	guanidine	renal transplant	0	0	Inf	1	0	0	4	1510	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	1.19	0.03	6.95	0.5709144	1	53	137807	8726478	8	menadione	acute lymphocytic leukaemia	0	0	8009.44	1	0	8	2	12143	8	menadione	acute lymphocytic leukaemia	NA	NA	0	0	Inf	1	0	0	0	0	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1513	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1243	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	22.79	1	0	12	137808	8726519	9	thyroglobulin	prophylaxis against transplant rejection	0	0	1688.45	1	0	4	10	9904	9	thyroglobulin	prophylaxis against transplant rejection	NA	NA	0	0	Inf	1	0	0	0	0	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	869	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	574	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	1.58	0.04	9.34	0.4739757	1	40	137807	8726491	10	inulin	oesophageal carcinoma	0	0	3520.4	1	0	3	3	3027	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
