results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
885	acebutolol	1.33	0.8	2.08	0.23	19	3942	31934	8828444	885	acebutolol	hypertension	0.99	0.27	2.55	1	4	721	1803	321980	885	acebutolol	hypertension	16	87.6	0	0	14.34	1	0	139	132	69432	885	acebutolol	hypertension	0	0	63.06	1	0	46	44	31890	885	acebutolol	hypertension	0	0	14.02	1	0	105	105	40482	885	acebutolol	hypertension	-11.4	1.11954848425909e-05	320.03	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
366	acetic acid, glacial	0.66	0.02	3.71	1	1	417	31952	8831969	366	acetic acid, glacial	hypertension	2.55	0.06	14.71	0.33	1	70	1806	322631	366	acetic acid, glacial	hypertension	16	87.6	176.57	3.35	2125.72	0.0076	1	3	131	69568	366	acetic acid, glacial	hypertension	0	0	1841.04	1	0	3	44	31933	366	acetic acid, glacial	hypertension	385.51	4.93	16384	0.0052	1	1	104	40586	366	acetic acid, glacial	hypertension	4.93	138.379512339961	1.13	0	-0.01	0.01	0.03	-0.65	0.18	0	161	161	80
437	acetohexamide	0	0	83.53	1	0	14	31953	8832372	437	acetohexamide	hypertension	0	0	430.22	1	0	3	1807	322698	437	acetohexamide	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	437	acetohexamide	hypertension	0	0	Inf	1	0	0	44	31936	437	acetohexamide	hypertension	0	0	Inf	1	0	0	105	40587	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1572	aliskiren hemifumarate	0.52	0.24	0.99	0.052	9	4780	31944	8827606	1572	aliskiren hemifumarate	hypertension	0.1	0	0.58	0.0016	1	1712	1806	320989	1572	aliskiren hemifumarate	hypertension	16	87.6	5.52	0.14	32.06	0.17	1	96	131	69475	1572	aliskiren hemifumarate	hypertension	0	0	53.35	1	0	54	44	31882	1572	aliskiren hemifumarate	hypertension	7.64	0.19	45.44	0.13	1	51	104	40536	1572	aliskiren hemifumarate	hypertension	1.61	5.00281122783359	1.01	0.11	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
482	allopurinol	1.8	1.65	1.97	3.7e-32	491	75805	31462	8756581	482	allopurinol	hypertension	1.26	0.99	1.58	0.051	77	11016	1730	311685	482	allopurinol	hypertension	16	87.6	0.58	0.12	1.73	0.5	3	2695	129	66876	482	allopurinol	hypertension	1.2	0.24	3.77	0.74	3	1833	41	30103	482	allopurinol	hypertension	0.82	0.1	3.05	1	2	938	103	39649	482	allopurinol	hypertension	0.08	1.08328706767496	0.46	0.87	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1142	allopurinol sodium	0.97	0.12	3.52	1	2	570	31951	8831816	1142	allopurinol sodium	hypertension	0	0	12.17	1	0	56	1807	322645	1142	allopurinol sodium	hypertension	16	87.6	0	0	570.27	1	0	5	132	69566	1142	allopurinol sodium	hypertension	0	0	4161.04	1	0	2	44	31934	1142	allopurinol sodium	hypertension	0	0	946.59	1	0	3	105	40584	1142	allopurinol sodium	hypertension	-8.29	0.000251014462743614	393.31	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
758	amiloride	1.84	1.27	2.59	0.0012	33	4952	31920	8827434	758	amiloride	hypertension	0.44	0.09	1.29	0.18	3	1219	1804	321482	758	amiloride	hypertension	16	87.6	0	0	9.13	1	0	217	132	69354	758	amiloride	hypertension	0	0	42.69	1	0	67	44	31869	758	amiloride	hypertension	0	0	8.91	1	0	164	105	40423	758	amiloride	hypertension	-11.4	1.11954848425909e-05	258.97	0.96	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1018	amlodipine besylate	2.36	2.21	2.51	2.4e-124	1020	121763	30933	8710623	1018	amlodipine besylate	hypertension	1.3	1.13	1.49	0.00018	248	35123	1559	287578	1018	amlodipine besylate	hypertension	16	87.6	0.78	0.33	1.59	0.62	8	5314	124	64257	1018	amlodipine besylate	hypertension	0.9	0.18	2.82	1	3	2403	41	29533	1018	amlodipine besylate	hypertension	0.6	0.19	1.44	0.36	5	3137	100	37450	1018	amlodipine besylate	hypertension	-0.37	0.690734330637355	0.36	0.31	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1471	amlodipine maleate	2.14	0.44	6.29	0.17	3	388	31950	8831998	1471	amlodipine maleate	hypertension	4	0.81	11.97	0.042	3	134	1804	322567	1471	amlodipine maleate	hypertension	16	87.6	0	0	121.22	1	0	18	132	69553	1471	amlodipine maleate	hypertension	0	0	377.79	1	0	9	44	31927	1471	amlodipine maleate	hypertension	0	0	174.65	1	0	10	105	40577	1471	amlodipine maleate	hypertension	-9.28	9.32711234649488e-05	331.78	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1740	amoxicillin	2.29	2.06	2.54	2.1e-42	354	42993	31599	8789393	1740	amoxicillin	hypertension	0.5	0.18	1.09	0.11	6	2137	1801	320564	1740	amoxicillin	hypertension	16	87.6	1.99	0.24	7.38	0.27	2	533	130	69038	1740	amoxicillin	hypertension	0	0	9.88	1	0	282	44	31654	1740	amoxicillin	hypertension	2.81	0.33	10.49	0.16	2	279	103	40308	1740	amoxicillin	hypertension	0.57	1.76826705143374	0.71	0.42	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
563	arginine	1.34	0.54	2.76	0.38	7	1447	31946	8830939	563	arginine	hypertension	1.48	0.18	5.4	0.39	2	242	1805	322459	563	arginine	hypertension	16	87.6	14.64	1.72	55.95	0.009	2	73	130	69498	563	arginine	hypertension	0	0	70.98	1	0	41	44	31895	563	arginine	hypertension	22.5	2.59	89.57	0.0041	2	35	103	40552	563	arginine	hypertension	2.59	13.3297716031958	0.72	0	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
55	ascorbic acid	2.3	2	2.64	1.1e-26	214	25765	31739	8806621	55	ascorbic acid	hypertension	1.08	0.55	1.89	0.76	12	1991	1795	320710	55	ascorbic acid	hypertension	16	87.6	0	0	11.23	1	0	177	132	69394	55	ascorbic acid	hypertension	0	0	34.27	1	0	83	44	31853	55	ascorbic acid	hypertension	0	0	14.59	1	0	101	105	40486	55	ascorbic acid	hypertension	-11.32	1.21279239463298e-05	289.5	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
106	aspirin	1.61	1.54	1.68	1.6e-83	2040	359374	29913	8473012	106	aspirin	hypertension	1.22	1.07	1.39	0.0032	278	41902	1529	280799	106	aspirin	hypertension	16	87.6	0.66	0.33	1.19	0.2	12	9194	120	60377	106	aspirin	hypertension	0.9	0.31	2.16	1	6	4748	38	27188	106	aspirin	hypertension	0.62	0.26	1.27	0.22	8	4777	97	35810	106	aspirin	hypertension	-0.29	0.748263567578565	0.28	0.3	-0.01	0.01	0.04	-0.63	0.18	0	161	161	80
767	atenolol	2.07	1.92	2.22	2.6e-73	797	107981	31156	8724405	767	atenolol	hypertension	1.24	1.05	1.46	0.012	163	23924	1644	298777	767	atenolol	hypertension	16	87.6	1.56	0.81	2.78	0.15	13	4546	119	65025	767	atenolol	hypertension	1.6	0.42	4.44	0.33	4	1876	40	30060	767	atenolol	hypertension	1.24	0.55	2.45	0.56	9	2860	96	37727	767	atenolol	hypertension	0.29	1.33642748802547	0.29	0.33	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1259	atorvastatin calcium	1.7	1.6	1.81	2.7e-58	1116	183843	30837	8648543	1259	atorvastatin calcium	hypertension	1.15	0.96	1.38	0.11	137	21414	1670	301287	1259	atorvastatin calcium	hypertension	16	87.6	1.47	0.69	2.81	0.24	10	3664	122	65907	1259	atorvastatin calcium	hypertension	2.35	0.72	5.98	0.076	5	1652	39	30284	1259	atorvastatin calcium	hypertension	1.3	0.51	2.78	0.51	7	2121	98	38466	1259	atorvastatin calcium	hypertension	0.48	1.61607440219289	0.3	0.11	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
2203	avelumab	0	0	655.93	1	0	3	31953	8832383	2203	avelumab	hypertension	0	0	6281.31	1	0	1	1807	322700	2203	avelumab	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	2203	avelumab	hypertension	0	0	Inf	1	0	0	44	31936	2203	avelumab	hypertension	0	0	Inf	1	0	0	105	40587	2203	avelumab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
