results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
1	hydroxyamphetamine	0	0	125.77	1	0	23	12244	8852072	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	4	0	241	1	hydroxyamphetamine	ophthalmological examination	NA	NA	0	0	Inf	1	0	0	0	0	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	0	0	21	1	hydroxyamphetamine	ophthalmological examination	0	0	Inf	1	0	2	0	38	1	hydroxyamphetamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	sulfapyridine	0	0	774.06	1	0	5	12244	8852090	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	2	0	313	2	sulfapyridine	disseminated tuberculosis	NA	NA	0	0	Inf	1	0	0	0	0	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	47	2	sulfapyridine	disseminated tuberculosis	0	0	Inf	1	0	0	0	46	2	sulfapyridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	heparin sodium	0.42	0.19	0.79	0.0046	9	15588	12235	8836507	3	heparin sodium	prophylaxis	0.84	0.02	4.83	1	1	1638	75	103116	3	heparin sodium	prophylaxis	36.9	71.9	0	0	105.67	1	0	72	10	16687	3	heparin sodium	prophylaxis	0	0	66.76	1	0	93	10	13707	3	heparin sodium	prophylaxis	0	0	7553.88	1	0	66	1	14493	3	heparin sodium	prophylaxis	-12.96	2.35257520000977e-06	1333.56	0.99	-0.02	0.01	0.1	2.41	1.05	0.02
4	histamine phosphate	0	0	364.63	1	0	9	12244	8852086	4	histamine phosphate	colon cancer	0	0	Inf	1	0	1	0	15044	4	histamine phosphate	colon cancer	NA	NA	0	0	Inf	1	0	0	0	0	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	0	2052	4	histamine phosphate	colon cancer	0	0	Inf	1	0	0	0	1701	4	histamine phosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	butabarbital sodium	0	0	106.07	1	0	27	12244	8852068	5	butabarbital sodium	anal fissure	0	0	466	1	0	3	2	222	5	butabarbital sodium	anal fissure	NA	NA	0	0	Inf	1	0	0	0	0	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	0	0	20	5	butabarbital sodium	anal fissure	0	0	Inf	1	0	1	0	39	5	butabarbital sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	desoxycorticosterone acetate	0	0	774.06	1	0	5	12244	8852090	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	1174	6	desoxycorticosterone acetate	adrenal insufficiency	NA	NA	0	0	Inf	1	0	0	0	0	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	0	0	128	6	desoxycorticosterone acetate	adrenal insufficiency	0	0	Inf	1	0	1	0	178	6	desoxycorticosterone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	guanidine	0	0	201.24	1	0	15	12244	8852080	7	guanidine	renal transplant	0	0	3642.23	1	0	4	11	21708	7	guanidine	renal transplant	53	66.6	0	0	Inf	1	0	0	0	1311	7	guanidine	renal transplant	0	0	Inf	1	0	0	1	2284	7	guanidine	renal transplant	0	0	Inf	1	0	0	2	1512	7	guanidine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	menadione	0	0	51.18	1	0	54	12244	8852041	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	8	0	12145	8	menadione	acute lymphocytic leukaemia	NA	NA	0	0	Inf	1	0	0	0	0	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1513	8	menadione	acute lymphocytic leukaemia	0	0	Inf	1	0	0	0	1243	8	menadione	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	thyroglobulin	0	0	259.1	1	0	12	12244	8852083	9	thyroglobulin	prophylaxis against transplant rejection	0	0	4.5036e+15	1	0	4	1	9913	9	thyroglobulin	prophylaxis against transplant rejection	NA	NA	0	0	Inf	1	0	0	0	0	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	869	9	thyroglobulin	prophylaxis against transplant rejection	0	0	Inf	1	0	0	0	574	9	thyroglobulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	inulin	0	0	68.07	1	0	41	12244	8852054	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	3	0	3030	10	inulin	oesophageal carcinoma	NA	NA	0	0	Inf	1	0	0	0	0	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	351	10	inulin	oesophageal carcinoma	0	0	Inf	1	0	0	0	108	10	inulin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
